date,3D Printing,Apps,Camera Equipment,DIY Electronics,Fabrication Tools,Flight,Gadgets,Hardware,Makerspaces,Robots,Software,Sound,Space Exploration,Technology,Wearables,Web
20140108,80.95238095,100,88.23529412,100,88.88888889,100,100,41.1308204,100,97.6744186,21.36752137,100,100,28.85572139,0,100
20140108,80.95238095,100,88.23529412,100,88.88888889,100,100,41.26106195,100,97.6744186,21.36752137,100,100,28.91466446,0,100
20140109,82.60869565,100,88.23529412,100,88.88888889,100,100,41.32596685,100,97.6744186,21.36752137,100,100,28.97350993,0,100
20140110,82.60869565,100,88.23529412,100,88.88888889,100,100,41.2803532,100,97.6744186,21.33105802,100,100,28.94954508,0,100
20140110,82.60869565,100,88.23529412,100,88.88888889,100,100,41.34509372,100,97.6744186,21.33105802,100,100,28.94954508,0,100
20140111,82.60869565,100,88.23529412,100,88.88888889,100,100,41.29955947,100,97.6744186,21.33105802,100,100,28.92561983,0,100
20140111,82.60869565,100,88.23529412,100,88.88888889,100,100,41.29955947,100,97.6744186,21.2585034,100,100,28.9017341,0,100
20140112,82.60869565,100,88.23529412,100,88.88888889,100,100,41.29955947,100,97.6744186,21.22241087,100,100,28.9017341,0,100
20140112,82.60869565,100,88.23529412,100,88.88888889,100,100,41.36413641,100,97.6744186,21.22241087,100,100,28.9017341,33.33333333,100
20140113,82.60869565,100,88.23529412,100,88.88888889,100,100,41.36413641,100,97.6744186,21.22241087,100,100,28.87788779,33.33333333,100
20140113,82.60869565,100,88.23529412,100,88.88888889,100,100,41.31868132,100,97.6744186,21.22241087,100,100,28.87788779,33.33333333,100
20140113,82.60869565,100,88.23529412,100,88.88888889,100,100,41.31868132,100,97.6744186,21.3559322,100,100,28.87788779,33.33333333,100
